date,city,tmax,tmin
2025-06-05,Chicago,71.96000000000001,53.96
2025-06-06,Chicago,77.0,57.02
2025-06-07,Chicago,77.0,53.96
2025-06-08,Chicago,80.96000000000001,59.0
2025-06-09,Chicago,71.06,55.04
2025-06-10,Chicago,78.08,55.04
2025-06-11,Chicago,91.94000000000001,64.04
2025-06-12,Chicago,78.98,62.059999999999995
2025-06-13,Chicago,71.06,59.0
2025-06-14,Chicago,75.92,57.92
2025-06-15,Chicago,82.04,57.02
2025-06-16,Chicago,87.98,60.980000000000004
2025-06-17,Chicago,91.94000000000001,71.06
2025-06-18,Chicago,80.96000000000001,66.02000000000001
2025-06-19,Chicago,84.92,64.94
2025-06-20,Chicago,86.0,69.08
2025-06-21,Chicago,93.91999999999999,78.08
2025-06-22,Chicago,93.91999999999999,80.06
2025-06-23,Chicago,95.0,78.98
2025-06-24,Chicago,93.91999999999999,73.94
2025-06-25,Chicago,89.06,71.06
2025-06-26,Chicago,93.91999999999999,77.0
2025-06-27,Chicago,87.08000000000001,71.96000000000001
2025-06-28,Chicago,89.96000000000001,68.0
2025-06-29,Chicago,93.91999999999999,73.04
2025-06-30,Chicago,89.96000000000001,73.94
2025-07-01,Chicago,87.08000000000001,69.98
2025-07-02,Chicago,91.04,71.06
2025-07-03,Chicago,95.0,71.96000000000001
2025-07-04,Chicago,91.94000000000001,73.94
2025-07-05,Chicago,93.91999999999999,75.92
2025-07-06,Chicago,84.92,66.02000000000001
2025-07-07,Chicago,82.94,64.94
2025-07-08,Chicago,84.02000000000001,69.08
2025-07-09,Chicago,84.92,69.08
2025-07-10,Chicago,84.92,66.92
2025-07-11,Chicago,89.96000000000001,69.98
2025-07-12,Chicago,84.02000000000001,69.08
2025-07-13,Chicago,80.96000000000001,66.92
2025-07-14,Chicago,87.08000000000001,66.02000000000001
2025-07-15,Chicago,91.04,69.98
2025-07-16,Chicago,89.96000000000001,69.98
2025-04-20,Houston,87.08000000000001,73.94
2025-04-21,Houston,86.0,69.98
2025-04-22,Houston,87.08000000000001,66.92
2025-04-23,Houston,77.0,69.08
2025-04-24,Houston,84.92,66.92
2025-04-25,Houston,87.98,66.92
2025-04-26,Houston,87.08000000000001,68.0
2025-04-27,Houston,87.98,69.98
2025-04-28,Houston,86.0,71.06
2025-04-29,Houston,84.02000000000001,69.98
2025-04-30,Houston,86.0,73.94
2025-05-01,Houston,89.06,71.06
2025-05-02,Houston,86.0,68.0
2025-05-03,Houston,82.04,64.04
2025-05-04,Houston,82.94,59.0
2025-05-05,Houston,80.96000000000001,60.08
2025-05-06,Houston,84.02000000000001,66.92
2025-05-07,Houston,84.92,69.08
2025-05-08,Houston,89.96000000000001,66.92
2025-05-09,Houston,84.92,68.0
2025-05-10,Houston,84.02000000000001,64.94
2025-05-11,Houston,82.04,62.059999999999995
2025-05-12,Houston,86.0,60.980000000000004
2025-05-13,Houston,95.0,69.08
2025-05-14,Houston,96.08000000000001,75.02000000000001
2025-05-15,Houston,95.0,77.0
2025-05-16,Houston,93.02,80.96000000000001
2025-05-17,Houston,93.91999999999999,78.98
2025-05-18,Houston,91.94000000000001,80.96000000000001
2025-05-19,Houston,91.94000000000001,80.06
2025-05-20,Houston,96.08000000000001,80.96000000000001
2025-05-21,Houston,89.06,75.92
2025-05-22,Houston,93.91999999999999,77.0
2025-05-23,Houston,93.91999999999999,75.92
2025-05-24,Houston,96.08000000000001,80.06
2025-05-25,Houston,95.0,82.04
2025-05-26,Houston,87.98,69.98
2025-05-27,Houston,91.04,68.0
2025-05-28,Houston,82.04,71.96000000000001
2025-05-29,Houston,93.91999999999999,71.06
2025-05-30,Houston,89.06,75.02000000000001
2025-05-31,Houston,89.96000000000001,75.02000000000001
2025-06-01,Houston,93.02,71.96000000000001
2025-06-02,Houston,93.02,75.02000000000001
2025-06-03,Houston,89.96000000000001,73.94
2025-06-04,Houston,91.94000000000001,78.98
2025-06-05,Houston,93.91999999999999,75.92
2025-06-06,Houston,95.0,80.06
2025-06-07,Houston,96.98,78.98
2025-06-08,Houston,98.06,78.98
2025-06-09,Houston,93.91999999999999,71.96000000000001
2025-06-10,Houston,93.02,77.0
2025-06-11,Houston,82.94,73.94
2025-06-12,Houston,80.96000000000001,71.06
2025-06-13,Houston,91.94000000000001,73.04
2025-06-14,Houston,93.02,77.0
2025-06-15,Houston,93.91999999999999,73.04
2025-06-16,Houston,91.94000000000001,73.94
2025-06-17,Houston,95.0,77.0
2025-06-18,Houston,95.0,78.98
2025-06-19,Houston,95.0,78.98
2025-06-20,Houston,96.08000000000001,78.98
2025-06-21,Houston,96.08000000000001,80.96000000000001
2025-06-22,Houston,93.91999999999999,78.08
2025-06-23,Houston,93.91999999999999,78.08
2025-06-24,Houston,96.08000000000001,77.0
2025-06-25,Houston,89.06,75.92
2025-06-26,Houston,95.0,75.92
2025-06-27,Houston,93.91999999999999,75.02000000000001
2025-06-28,Houston,95.0,75.02000000000001
